Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Aruba,ABW,30.9,52,58,62,69,74,78.9,83.78,88.661226932496,93.542453865048,,
Afghanistan,AFG,1.9,1.84,3.55,4,5,5.45454545454545,5.9,7,8.26,10.5957264186601,,
Angola,AGO,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,,
Albania,ALB,15.0361154084109,23.86,41.2,45,49,54.6559590399494,57.2,60.1,63.252932696931,66.363444701023,,
Andorra,AND,70.87,70.04,78.53,81,81,86.4344246167258,94,95.9,96.91,97.9306371220021,,
Arab World,ARB,14.3152138911244,18.4959056790859,21.4263493058454,24.7759406944671,26.582763949358,30.1782328191634,32.9280383552986,36.4579583655274,39.9293582929559,42.6899446475061,,
United Arab Emirates,ARE,61,63,64,68,78,84.9999915049492,88,90.4,90.5,90.6000073180483,94.8199225383446,
Argentina,ARG,25.9466329403819,28.1126234799907,34,45,51,55.8,59.9,64.7,68.0430641088122,70.9689808206024,,
Armenia,ARM,6.02125339712607,6.21,15.3,25,32,37.5,41.9,54.6228058583362,59.1023777148789,64.3460297653742,,
American Samoa,ASM,,,,,,,,,,,,
Antigua and Barbuda,ATG,34,38,42,47,52,58,63.4,67.78,70,73,,
Australia,AUS,69.45,71.67,74.25,76,79.4876977139029,79,83.453497167,84,84.560519347399,88.2386580521762,86.5447205357702,
Austria,AUT,69.37,72.87,73.45,75.17,78.7399930986888,80.0299939169903,80.6188,80.9958249574764,83.9401419315026,84.3233312921004,87.9355865856062,
Azerbaijan,AZE,14.54,17.08,27.4,46,50,54.2,73.000001372,75.0000156363396,77,78.2,79,
Burundi,BDI,0.7,0.81,0.9,1,1.11,1.21999994477793,1.2642181112,1.38,4.86622446359511,5.17362677652886,,
Belgium,BEL,64.44,66,70,75,81.6099959955952,80.7199905482042,82.1702,85,85.0529,86.5165,87.6796808175598,
Benin,BEN,1.79,1.85,2.24,3.13,4.14832306562512,4.5,4.9,6,11.2549879092022,11.994047908223,,
Burkina Faso,BFA,0.75,0.92,1.13,2.4,3,3.72503491597675,9.1,9.4,11.387646166247,13.96,,
Bangladesh,BGD,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.2469380029449,,
Bulgaria,BGR,33.64,39.67,45,46.23,47.9799930506026,51.8999876658503,53.0615,55.49,56.6563,59.825547661014,63.4101013837926,
Bahrain,BHR,32.91,51.95,53,55,76.9999665032303,88,90.0000397,90.5031334814656,93.4783011354165,97.9999807024146,95.8781357543453,
"Bahamas, The",BHS,27,31.54,33.88,43,65,71.7482028146963,72,76.92,78,80,,
Bosnia and Herzegovina,BIH,27.92,34.66,37.74,42.75,43.8876865285545,45.0645004334763,48.5213141734421,49.9177324336354,52.6,60.26,69.4911524225288,
Belarus,BLR,19.7,23,27.43,31.8,39.6488956598961,46.91,54.17,59.02,67.3,71.1130457603832,74.4364454136036,
Belize,BLZ,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.589999999835,44.57574032,,
Bermuda,BMU,74.3505940302669,82.3,83.25,84.21,88.336,91.2993045243401,95.3,96.8,98.3236096537251,98,,
Bolivia,BOL,10.4992443168903,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56227065,39.6975146032685,,
Brazil,BRA,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.5510018796392,58.3279517340924,60.8725400681261,,
Barbados,BRB,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.5493978888735,,
Brunei Darussalam,BRN,44.68,46,49,53,56,60.2730650423193,64.5,68.77,71.2,90,,
Bhutan,BTN,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.7726445321672,,
Botswana,BWA,5.28,6.25,6.15,6,9,16,30,36.74474744423,37.3120503733278,39.36299738,,
Central African Republic,CAF,0.375815961044797,1,1.8,2,2.2,3,3.4,3.6,3.8,4,,
Canada,CAN,73.2,76.7,80.3,80.3,83,83,85.8,87.12,88.47,91.16,,
Central Europe and the Baltics,CEB,45.284274473314,50.6885905652787,55.1028333732934,58.5992965115256,59.1222464764535,61.7286949263486,63.4756186303987,66.4950362490394,67.3592450170268,71.3504111076453,73.4357593829964,
Switzerland,CHE,77.2,79.2,81.3,83.9,85.1930281804854,85.2,86.34,87.4,87.4790555978675,89.1346877351392,93.7138659101283,
Channel Islands,CHI,,,,,,,,,,,,
Chile,CHL,35.9,37.3,41.56,45,52.2496072877744,55.05,58,61.11,76.63,83.56,82.3274869338464,
China,CHN,16,22.6,28.9,34.3,38.3,42.3001174855995,45.8,47.9,50.3,53.2,54.3,
Cote d'Ivoire,CIV,1.8,1.9,2,2.7,2.9,5,12,19.2742298,38.44,41.21,43.8399208514876,
Cameroon,CMR,2.93,3.4,3.84,4.3,5,7.5,10,16.2148722257524,20.6801476606263,25,23.2029719748646,
"Congo, Dem. Rep.",COD,0.37,0.44,0.56,0.72,1.2,1.679961014645,2.2,3,3.799999507273,6.20997406030119,,
"Congo, Rep.",COG,2.75970437370903,4.28750990276481,4.5,5,5.6,6.10669502435836,6.6,7.11,7.61597466209,8.121949323466,,
Colombia,COL,21.8,25.6,30,36.5,40.3509157546318,48.98,51.7,52.57,55.9049725142924,58.1364935728703,62.2598803162841,
Comoros,COM,2.5,3,3.5,5.1,5.5,5.97529630842855,6.5,6.98,7.459161385649,7.938322770803,,
Cabo Verde,CPV,8.28321981953034,14,21,30,32,34.74,37.5,40.26,42.68,50.3228178676892,57.1621463484891,
Costa Rica,CRI,28.4,32.29,34.33,36.5,39.2121959961842,47.5,45.96,53,59.7629501371681,66.028712851114,71.5816646195022,
Caribbean small states,CSS,24.502287466768,27.6745283224914,31.7555302992968,35.4076901105025,42.1843231941824,42.552482473104,45.3352870420212,48.4072687506325,50.8981648475231,53.5582024875428,,
Cuba,CUB,11.69,12.94,14.33,15.9,16.0172907996413,21.2,27.93,29.0701843656523,37.3050974155373,42.98,,
Curacao,CUW,,,,,,,,,,61.855510740634,,
